日期,当日销量（张）,当日销量（元）,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）
2023/10/19,392,10584,0,0,392,10584,0,0,0,0,0,0
2023/10/20,328,8856,0,0,328,8856,0,0,0,0,0,0
2023/10/21,698,18846,0,0,698,18846,0,0,0,0,0,0
2023/10/22,1266,34182,0,0,1266,34182,0,0,0,0,0,0
2023/10/23,737,19899,0,0,737,19899,0,0,0,0,0,0
2023/10/24,516,13932,0,0,516,13932,0,0,0,0,0,0
2023/10/25,437,11799,0,0,437,11799,0,0,0,0,0,0
2023/10/26,466,12582,0,0,466,12582,0,0,0,0,0,0
2023/10/27,399,10773,0,0,399,10773,0,0,0,0,0,0
2023/10/28,376,10152,0,0,376,10152,0,0,0,0,0,0
2023/10/29,383,10341,0,0,383,10341,0,0,0,0,0,0
